    PID    PPID USER     %CPU %MEM STAT COMMAND
   4002    3344 vmuser    0.0  0.0 Ssl  gvfsd-metadata
   3776    3344 vmuser    0.0  0.3 Sl   goa-daemon
   3556    3344 vmuser    0.0  0.0 Ssl  xdg-document-po
   5469       1 vmuser    0.0  0.0 Sl   lbrowser_crashp
   3616    3344 vmuser    0.0  0.0 Sl   gvfsd-fuse
   1306       1 root      0.0  0.0 Ss   sshd
   5478    5457 vmuser    0.0  0.5 S    lbrowser
   5477    5457 vmuser    0.0  0.5 S    lbrowser
   4506       1 root      0.0  0.1 S    activation-daem
   4255       1 root      0.0  0.1 Sl   kysec-scene-dae
   3610    3344 vmuser    0.0  0.0 Ssl  gvfsd
   2831       1 root      0.0  0.1 Sl   authoritydbus
   5484    5478 vmuser    0.0  0.1 S    lbrowser
   4381       1 root      0.0  0.1 Sl   kylin-nm-sysdbu
   4336    3610 vmuser    0.0  0.0 Sl   gvfsd-recent
   3637    3363 vmuser    0.0  0.1 Sl   ukui-sni-watche
   3586    3344 vmuser    0.0  0.0 Ssl  at-spi-bus-laun
   2797       1 root      0.0  0.1 Sl   ukui-powermanag
   3794    3610 vmuser    0.0  0.0 Sl   gvfsd-network
   3763    3344 vmuser    0.0  0.0 Ssl  gvfs-gphoto2-vo
   3757    3344 vmuser    0.0  0.0 Ssl  gvfs-mtp-volume
   3711       1 vmuser    0.0  0.0 S<l  pulseaudio
   2947    2576 root      0.0  0.1 Sl   lightdm
   1046       1 root      0.0  0.0 Ss   rasdaemon
      3       2 root      0.0  0.0 S    pool_workqueue_release
      4       2 root      0.0  0.0 I<   kworker/R-rcu_g
      5       2 root      0.0  0.0 I<   kworker/R-rcu_p
      6       2 root      0.0  0.0 I<   kworker/R-slub_
      7       2 root      0.0  0.0 I<   kworker/R-netns
      9       2 root      0.0  0.0 I<   kworker/0:0H-events_highpri
     12       2 root      0.0  0.0 I<   kworker/R-mm_pe
     14       2 root      0.0  0.0 I    rcu_tasks_rude_kthread
     15       2 root      0.0  0.0 I    rcu_tasks_trace_kthread
     19       2 root      0.0  0.0 S    cpuhp/0
     20       2 root      0.0  0.0 S    cpuhp/1
     24       2 root      0.0  0.0 I<   kworker/1:0H-events_highpri
     25       2 root      0.0  0.0 S    kdevtmpfs
     26       2 root      0.0  0.0 I<   kworker/R-inet_
     27       2 root      0.0  0.0 S    kalert_notify_thread
     29       2 root      0.0  0.0 S    oom_reaper
     30       2 root      0.0  0.0 I<   kworker/R-write
     33       2 root      0.0  0.0 SN   ksmd
     35       2 root      0.0  0.0 I<   kworker/R-kinte
     36       2 root      0.0  0.0 I<   kworker/R-kbloc
     37       2 root      0.0  0.0 I<   kworker/R-blkcg
     38       2 root      0.0  0.0 I<   kworker/R-tpm_d
     39       2 root      0.0  0.0 I<   kworker/R-ata_s
     40       2 root      0.0  0.0 I<   kworker/R-md
     41       2 root      0.0  0.0 I<   kworker/R-md_bi
     42       2 root      0.0  0.0 I<   kworker/R-devfr
     43       2 root      0.0  0.0 S    watchdogd
     45       2 root      0.0  0.0 I<   kworker/R-rpcio
     46       2 root      0.0  0.0 I<   kworker/R-xprti
     47       2 root      0.0  0.0 S    kswapd0
     48       2 root      0.0  0.0 S    ecryptfs-kthread
     49       2 root      0.0  0.0 I<   kworker/R-nfsio
     50       2 root      0.0  0.0 I<   kworker/R-xfsal
     51       2 root      0.0  0.0 I<   kworker/R-xfs_m
     60       2 root      0.0  0.0 I<   kworker/R-kthro
     65       2 root      0.0  0.0 S    irq/26-aerdrv
     66       2 root      0.0  0.0 S    irq/26-pciehp
     67       2 root      0.0  0.0 S    irq/27-aerdrv
     68       2 root      0.0  0.0 S    irq/27-pciehp
     69       2 root      0.0  0.0 S    irq/28-aerdrv
     70       2 root      0.0  0.0 S    irq/28-pciehp
     71       2 root      0.0  0.0 S    irq/29-aerdrv
     72       2 root      0.0  0.0 S    irq/29-pciehp
     73       2 root      0.0  0.0 S    irq/30-aerdrv
     74       2 root      0.0  0.0 S    irq/30-pciehp
     75       2 root      0.0  0.0 S    irq/31-aerdrv
     76       2 root      0.0  0.0 S    irq/31-pciehp
     77       2 root      0.0  0.0 S    irq/32-aerdrv
     78       2 root      0.0  0.0 S    irq/32-pciehp
     79       2 root      0.0  0.0 S    irq/33-aerdrv
     80       2 root      0.0  0.0 S    irq/33-pciehp
     81       2 root      0.0  0.0 S    irq/35-aerdrv
     82       2 root      0.0  0.0 S    irq/35-pciehp
     83       2 root      0.0  0.0 S    irq/36-aerdrv
     84       2 root      0.0  0.0 S    irq/36-pciehp
     85       2 root      0.0  0.0 S    irq/37-aerdrv
     86       2 root      0.0  0.0 S    irq/37-pciehp
     87       2 root      0.0  0.0 S    irq/38-aerdrv
     88       2 root      0.0  0.0 S    irq/38-pciehp
     89       2 root      0.0  0.0 S    irq/39-aerdrv
     90       2 root      0.0  0.0 S    irq/39-pciehp
     91       2 root      0.0  0.0 S    irq/40-aerdrv
     92       2 root      0.0  0.0 S    irq/40-pciehp
     93       2 root      0.0  0.0 S    irq/41-aerdrv
     94       2 root      0.0  0.0 S    irq/41-pciehp
     95       2 root      0.0  0.0 S    irq/42-aerdrv
     96       2 root      0.0  0.0 S    irq/42-pciehp
     97       2 root      0.0  0.0 S    irq/44-aerdrv
     98       2 root      0.0  0.0 S    irq/44-pciehp
     99       2 root      0.0  0.0 S    irq/19-ACPI:Ged
    100       2 root      0.0  0.0 I<   kworker/R-acpi_
    101       2 root      0.0  0.0 I<   kworker/R-kmpat
    102       2 root      0.0  0.0 I<   kworker/R-kalua
    104       2 root      0.0  0.0 I<   kworker/R-mld
    105       2 root      0.0  0.0 I<   kworker/R-ipv6_
    110       2 root      0.0  0.0 I<   kworker/R-kstrp
    115       2 root      0.0  0.0 I<   kworker/u5:0
    237       2 root      0.0  0.0 I<   kworker/R-kmpat
    238       2 root      0.0  0.0 I<   kworker/R-kmpat
    432       2 root      0.0  0.0 S    scsi_eh_0
    433       2 root      0.0  0.0 I<   kworker/R-scsi_
    518       2 root      0.0  0.0 I<   kworker/R-kdmfl
    525       2 root      0.0  0.0 I<   kworker/R-kdmfl
    554       2 root      0.0  0.0 I<   kworker/R-xfs-b
    555       2 root      0.0  0.0 I<   kworker/R-xfs-c
    556       2 root      0.0  0.0 I<   kworker/R-xfs-r
    557       2 root      0.0  0.0 I<   kworker/R-xfs-b
    558       2 root      0.0  0.0 I<   kworker/R-xfs-i
    559       2 root      0.0  0.0 I<   kworker/R-xfs-l
    560       2 root      0.0  0.0 I<   kworker/R-xfs-c
    979       2 root      0.0  0.0 I<   kworker/R-xfs-b
    980       2 root      0.0  0.0 I<   kworker/R-xfs-c
    984       2 root      0.0  0.0 I<   kworker/R-xfs-r
    985       2 root      0.0  0.0 I<   kworker/R-xfs-b
    987       2 root      0.0  0.0 I<   kworker/R-xfs-i
    988       2 root      0.0  0.0 I<   kworker/R-xfs-l
    989       2 root      0.0  0.0 I<   kworker/R-xfs-c
    990       2 root      0.0  0.0 S    xfsaild/vda2
   2618       1 vmuser    0.0  0.0 Ss   x11vnc
   3349    3344 vmuser    0.0  0.0 S    (sd-pam)
   3564    3344 vmuser    0.0  0.0 Ssl  xdg-permission-
   3573    3556 root      0.0  0.0 Ss   fusermount3
   3718    3711 vmuser    0.0  0.0 Sl   gsettings-helpe
   3769    3344 vmuser    0.0  0.0 Ssl  gvfs-goa-volume
   3834       1 root      0.0  0.0 Sl   ukui-search-sys
   4043    3363 vmuser    0.0  0.0 Sl   sync-config-ses
   4055    3363 vmuser    0.0  0.0 Sl   sdk-date
   5462    5457 vmuser    0.0  0.0 S    cat
   5463    5457 vmuser    0.0  0.0 S    cat
   5472       1 vmuser    0.0  0.0 Sl   lbrowser_crashp
1044541 1044529 vmuser    0.0  0.0 S    sshd
1044556 1044544 vmuser    0.0  0.0 S    sshd
1044561 1044556 vmuser    0.0  0.0 Ss   sftp-server
1048836       2 root      0.0  0.0 I    kworker/1:5-cgroup_pidlist_destroy
1057998       2 root      0.0  0.0 I    kworker/0:23-cgroup_pidlist_destroy
1058304       2 root      0.0  0.0 I    kworker/0:33-events
1058325       2 root      0.0  0.0 I    kworker/1:1-events
1059339       2 root      0.0  0.0 I    kworker/1:0-cgroup_pidlist_destroy
1059434       2 root      0.0  0.0 I    kworker/0:0-cgroup_pidlist_destroy
1059755 1021320 vmuser    0.0  0.0 S+   tee
1062514    2619 root      0.0  0.0 S    sleep
1062618 1062294 vmuser    0.0  0.0 R+   ps
